order	status	file	language	loc	authority_risk_score	migration_potential_score	concept_opportunity_score	priority_score
229	done	core/layer0/ops/tests/v9_swarm_runtime_integration_parts/020-results-consensus-tests.rs	rs	381	5	1	3	3.4
230	done	core/layer2/ops/src/workspace_gateway_runtime_parts/040-task-commands.rs	rs	381	5	1	3	3.4
231	done	core/layer0/ops/src/model_router_parts/050-resolve-model-token-multiplier.rs	rs	379	5	1	3	3.4
232	done	core/layer0/ops/src/research_batch7_parts/040-run-template-governance-common.rs	rs	374	5	1	3	3.4
233	done	core/layer2/nexus/src/main_nexus_parts/020-control.rs	rs	374	5	1	3	3.4
234	done	core/layer0/ops/src/assimilate_kernel.rs	rs	370	5	1	3	3.4
235	done	core/layer0/ops/src/security_plane_parts/010-print-json.rs	rs	370	5	1	3	3.4
236	done	core/layer2/conduit/src/lib_parts/020-new.rs	rs	369	5	1	3	3.4
237	done	core/layer0/ops/src/security_plane_parts/050-run-secrets-federation-command.rs	rs	363	5	1	3	3.4
238	done	core/layer0/ops/src/model_router_tests_part3.rs	rs	360	5	1	3	3.4
239	done	core/layer0/ops/src/readiness_bridge_pack_kernel.rs	rs	360	5	1	3	3.4
240	done	core/layer0/ops/src/attention_queue_parts/040-compact.rs	rs	358	5	1	3	3.4
241	done	core/layer0/ops/src/google_adk_bridge_parts/020-emit-native-trace.rs	rs	357	5	1	3	3.4
242	done	core/layer0/ops/src/offline_runtime_guard.rs	rs	356	5	1	3	3.4
243	done	core/layer0/ops/src/autotest_doctor_parts/020-load-policy.rs	rs	349	5	1	3	3.4
244	done	core/layer0/ops/src/secret_broker_kernel_parts/030-read-state.rs	rs	349	5	1	3	3.4
245	done	core/layer0/ops/src/strategy_mode_governor_parts/010-run.rs	rs	349	5	1	3	3.4
246	done	core/layer0/ops/tests/v6_security_hardening_integration_parts/030-skill-and-hygiene-tests.rs	rs	344	5	1	3	3.4
247	done	core/layer0/ops/src/runtime_systems_parts/125-contract-specific-regression-tests.rs	rs	337	5	1	3	3.4
